PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
454,1022123,41303638000,CH-KIT-1600,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
455,1022135,41303714100,DEV-KIT-1600,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
456,1022140,41303734000,FU-KIT-1600,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
457,1022166,41306367000,FRAME-GEAR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
458,1022202,41305505000,SPR-SENSOR-LVR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
459,1022220,41311008300,PU-1600ES,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
460,1022247,41306871000,BELT-COUPLER-PU,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
461,1022293,4C3696,SHAFT + ROLLERS AY AND FRE,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
462,1022316,41314010000,GER-34M0819M1AW,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
463,1022332,41314531000,SCREW(TAP TIGHT PAN) 3*5,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
464,1022485,4C3844,BELT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
465,1022490,4C3850,BELT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
466,1022513,4C3979,PCB AY - DAUGHTER #1 or B,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
467,1022547,4C4295,BOOT CPU EPROM (V0.01.08),4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
468,1022645,41306067000,SEP-HT/RLR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
