ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
1286756,414478M-1082185,NRG MP3365CSP,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286757,414202M-1082221,ATO model 414222M (NRG MP 2500SP),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286758,414229M-1082223,ATO model 414249M (NRG MPC2000AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286759,400932M,ATO model 400952M (P7325N),PB_03,4111101,210,PAGE PRINTER B&W CUT-SHEET 20-29 PPM,MACHINE,B/W PRINTER
1286760,413656M-1082240,ATO model 413676M (MP161L),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1286761,414466M-1082253,NRG MP3370B,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286762,413334M-1086175,ATO model 413354M (NRG MPC3500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286763,413696M-1086177,ATO model 413797M (MPW2400),WF_2D,4111101,120,WIDE FORMAT DIGITAL 3-5 PPM,MACHINE,B/W MFP
1286764,414464M-1086183,NRG MP2565CSP,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286765,413337M-1086185,ATO model 413357M (NRG MPC4500AD),CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1286766,413665M-1086213,ATO model 413685M (MP161SPF),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1286767,402981M-1086219,ATO model 402995M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286768,412199M-1086253,ATO model 412221M (CS555),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1286769,402981M-1086255,ATO model 402995M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286770,413175M-1086257,ATO model 413195M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286771,413664M-1086259,ATO model 413684M (MP161SPF),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1286772,402953M-1092167,ATO model 402973M (SP 8200DN),PB_05,4111101,210,PAGE PRINTER B&W CUT-SHEET 40-59 PPM,MACHINE,B/W PRINTER
1286773,413337M-1092199,ATO model 413357M (NRG MPC4500AD),CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1286774,414501M-1092215,ATO model 414521M (MP4000BAD),BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
1286775,413241M-1092217,ATO model 413261M (MP7500SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1286776,413961M-1092229,ATO model 413981 (NRG MPC6000),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1286777,413161M-1093188,ATO model 413181M (IF4040/F111/FAX1180L),FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1286778,413337M-1093190,ATO model 413357M (NRG MPC4500AD),CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1286779,413175M-1093198,ATO model 413195M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286780,413334M-1093208,ATO model 413354M (NRG MPC3500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286781,413961M-1096163,ATO model 413981 (NRG MPC6000),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1286782,413161M-1098163,ATO model 413181M (IF4040/F111/FAX1180L),FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1286783,405601M-1112289,ATO model 405621M (GX 2500),GE_01,4111101,310,GEL SINGLE FUNCYTION,MACHINE,GELJET PRINTER
1286784,414464M-1116171,NRG MP2565CSP,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286785,402428M-1118169,ATO model 402448M (BP20N),PB_03,4111101,210,PAGE PRINTER B&W CUT-SHEET 20-29 PPM,MACHINE,B/W PRINTER
1286786,413334M-1118177,ATO model 413354M (NRG MPC3500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1286787,414464M-1119170,NRG MP2565CSP,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286788,412738M-1119182,ATO model 412758M (NRG MP C1500SP),CL_61,4111101,130,COLOR COPIER 1-19 CPM,MACHINE,B TO C MFP
1286789,NUKB390944,HP4600 MFP DESIGNJET PRINTER  45,BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1286790,413585M-1134404,ATO model 413695M (NRG MP 2000),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1286791,412811M-1134414,ATO model 412921M (MP5500),BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
1286792,406139M-1134416,ATO model 406249M (SP C222sf),MF_T3,4111101,220,MFP A4 LASER 20-29 CPM,MACHINE,COLOUR PRINTER
1286793,402981M-1134424,ATO model 403991M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286794,402709M-1134426,ATO model 403719M (SP C811DN),PC_05,4111101,220,PAGE PRINTER COLOUR 40-59 PPM,MACHINE,COLOUR PRINTER
1286795,402981M-1134428,ATO model 403991M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286796,402981M-1134446,ATO model 403991M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1286797,402709M-1134448,ATO model 403719M (SP C811DN),PC_05,4111101,220,PAGE PRINTER COLOUR 40-59 PPM,MACHINE,COLOUR PRINTER
1286798,414516M-1134450,ATO model 415526M (MP5000CSP),BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
1286799,402806M-1134452,SP4121,PB_04,4111101,210,PAGE PRINTER B&W CUT-SHEET 30-39 PPM,MACHINE,B/W PRINTER
